player_id,player_name
20781,Jordan Rossiter
3528,Kieran Gibbs
3595,Manuel Lanzini
27853,Mauro Matías Zárate
3487,Julián Speroni
3380,Christian Benteke Liolo
5540,Valon Behrami
3233,Raheem Sterling
6695,Juan Miguel Jiménez López
3635,Jordon Ibe
40121,Philipp Wollscheid
4840,Massadio Haïdara
10458,Fikayo Tomori
3098,Victor Wanyama
28782,Ritchie De Laet
22281,Duncan Watmore
11124,Steven Whittaker
42899,Gabriel Antoine Obertan
9627,Neil Taylor
3321,Patrick van Aanholt
19847,Alessandro Diamanti
28559,Enner Remberto Valencia Lastra
4913,Bojan Krkíc Pérez
28247,Libor Kozák
20527,Jonas Olsson
3343,Dan Gosling
3085,Glenn Murray
42946,Guangtai Jiang
40122,Oscar dos Santos Emboaba Júnior
45014,Tokelo Anthony Rantie
3647,Alex Iwobi
3501,Philippe Coutinho Correia
3721,Etienne Capoue
3450,Jordan Ayew
3713,Calum Chambers
4631,Leon Britton
3090,Nicolás Hernán Otamendi
3442,El-Hadji Baye Oumar Niasse
4751,Michael Carrick
20287,John Terry
3669,Virgil van Dijk
4817,Joe Ledley
21254,Carl Jenkinson
3533,Xherdan Shaqiri
75899,Kevin Toner
4837,Josh Cullen
4243,Cameron Brannagan
9630,Andre Green
9578,Jonathan Howson
3307,Marc Albrighton
3309,Sebastian Prödl
5581,Joel Nathaniel Campbell Samuels
3636,Charlie Adam
3496,Mesut Özil
9958,Steven Caulker
6409,Adam Smith
3607,James McCarthy
45389,Thomas Robson
3831,Dušan Tadić
3814,Riyad Mahrez
3196,Wahbi Khazri
9985,Ádám Bogdán
3344,Andrew Surman
3300,Maya Yoshida
9641,Fraizer Campbell
3041,Ciaran Clark
3267,Luis Antonio Valencia Mosquera
3488,Wayne Hennessey
3685,Jay Rodriguez
16067,Josh Onomah
11012,Jonathan Grant Evans
11295,Patrick Roberts
3382,Luke Shaw
23663,Dieumerci Mbokani Bezua
3057,Jonjo Shelvey
3643,Phil Bardsley
4417,Ola Toivonen
42703,Mikel Arteta Amatriain
3626,Ben Watson
4347,Jordan Amavi
4269,Aleksandar Mitrović
3339,Asmir Begović
3963,Victor Moses
4217,Danny Graham
6871,Costel Fane Pantilimon
4804,Bradley Johnson
13248,Eunan O'Kane
11333,Adama Traoré Diarra
3456,Kurt Happy Zouma
3448,Martin Kelly
3325,Marko Arnautović
23488,Mario Suárez Mata
3535,Roberto Firmino Barbosa de Oliveira
4597,Fabian Delph
3475,Per Mertesacker
10956,Eric Dier
9636,Rushian Hepburn-Murphy
5685,Carlos Alberto Sánchez Moreno
3944,Gylfi Þór Sigurðsson
22622,Kieran O''Neill Dowell
5596,Aleksandar Kolarov
3491,Dimitri Payet
20521,Bafétimbi Gomis
3296,Marouane Fellaini-Bakkioui
3454,Troy Deeney
3722,Steven Taylor
48634,"Charles N""Zogbia"
10007,Jon Flanagan
21212,Russell Martin
17276,Seydou Doumbia
4129,Tyler Roberts
3462,Jack Frank Porteous Cork
9452,Gary O''Neil
20039,Anthony Martial
20045,Ryan Bertrand
3633,Gareth Barry
4035,Ryan Shawcross
9635,Will Keane
3483,Mamadou Sakho
3333,David de Gea Quintana
128703,Dionatan do Nascimento Teixeira
3443,Joel Ward
5594,Branislav Ivanović
40218,Sylvain Distin
3970,Fraser Forster
10770,Adam Matthews
10967,Robert Brady
13848,Marc Wilson
